,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,RT,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
70,2657,3,1612270674881,1612270703151,"als dingetje aan een rits, ritshandvatje zegmaar","as a thing on a zipper, zipper handle so to speak",thing zipper  zipper handle speak,zipper pull,0.0,1.0,11,2,ring,ring,17,28.27,19,0.7754644155502319,1,1,1,2.5,15
71,2657,3,1612270703151,1612270714523,moderne kunst,modern Art,modern Art,modern art,0.0,1.0,10,2,"as a thing on a zipper, zipper handle so to speak",zipper pull,18,11.372,21,0.7471343874931335,1,1,1,2.5,16
72,2657,3,1612270714523,1612270728976,een soort harnas,a kind of armor,kind armor,kind armor,0.0,1.0,10,2,modern Art,modern art,19,14.453,14,0.7413025498390198,1,1,1,3.0,17
82,2658,1,1612271927633,1612271931230,Luipaard,Leopard,Leopard,leopard,0.0,1.0,7,1,Cat,cat,1,3.597,1,0.8523253202438354,0,0,0,,0
83,2658,1,1612271931230,1612271932252,spin,spider,spider,spider,0.0,1.0,6,1,Leopard,leopard,2,1.022,15,0.795691192150116,1,1,1,,1
84,2658,1,1612271932252,1612271933747,hagedis,lizard,lizard,lizard,0.0,1.0,6,1,spider,spider,3,1.495,7,0.8571809530258179,1,0,0,,1
85,2658,1,1612271933747,1612271939757,hond,dog,dog,dog,0.0,1.0,3,1,lizard,lizard,4,6.01,3,0.7894878387451172,1,1,1,,2
86,2658,1,1612271939757,1612271940587,paard,horse,horse,horse,0.0,1.0,5,1,dog,dog,5,0.83,3,0.8798319101333618,0,0,0,,2
87,2658,1,1612271940587,1612271941687,ezel,donkey,donkey,donkey,0.0,1.0,6,1,horse,horse,6,1.1,3,0.8287779092788696,0,0,0,,2
88,2658,1,1612271941687,1612271943090,vogel,bird,bird,bird,0.0,1.0,4,1,donkey,donkey,7,1.403,10,0.7696811556816101,1,1,1,,3
89,2658,1,1612271943090,1612271946321,slak,snail,snail,snail,0.0,1.0,5,1,bird,bird,8,3.231,15,0.7972988486289978,1,1,1,,4
90,2658,1,1612271946321,1612271948828,olifant,elephant,elephant,elephant,0.0,1.0,8,1,snail,snail,9,2.507,9,0.8159891366958618,1,0,0,,4
91,2658,1,1612271948828,1612271950197,tijger,Tiger,Tiger,tiger,0.0,1.0,5,1,elephant,elephant,10,1.369,6,0.818225085735321,1,0,0,,4
92,2658,1,1612271950197,1612271952564,stokstaartje,meerkat,meerkat,meerkat,0.0,1.0,7,1,Tiger,tiger,11,2.367,9,0.804003119468689,1,0,0,,4
93,2658,1,1612271952564,1612271955125,vis,fish,fish,fish,0.0,1.0,4,1,meerkat,meerkat,12,2.561,11,0.7979991436004639,1,1,1,,5
94,2658,1,1612271955125,1612271959793,mug,mosquito,mosquito,mosquito,0.0,1.0,8,1,fish,fish,13,4.668,15,0.801074743270874,1,0,0,,5
95,2658,1,1612271959793,1612271967071,luipaard,leopard,leopard,leopard,0.0,1.0,7,1,mosquito,mosquito,14,7.278,1,0.7576857805252075,1,1,1,,6
96,2658,1,1612271967071,1612271970596,giraffe,giraffe,giraffe,giraffe,0.0,1.0,7,1,leopard,leopard,15,3.525,14,0.8355468511581421,1,0,0,,6
97,2658,1,1612271970596,1612271973395,kip,chicken,chicken,chicken,0.0,1.0,7,1,giraffe,giraffe,16,2.799,10,0.7994441986083984,1,1,1,,7
98,2658,1,1612271973395,1612271974037,koe,cow,cow,cow,0.0,1.0,3,1,chicken,chicken,17,0.642,3,0.8483150601387024,1,0,0,,7
99,2658,1,1612271974037,1612271975259,varken,pig,pig,pig,0.0,1.0,3,1,cow,cow,18,1.222,2,0.8522614240646362,1,0,0,,7
100,2658,1,1612271975259,1612271976154,schaap,sheep,sheep,sheep,0.0,1.0,5,1,pig,pig,19,0.895,3,0.8560076951980591,1,0,0,,7
117,2658,2,1612272716933,1612272725490,Opstapje ,Step stool,Step stool,step stool,0.0,1.0,10,2,Create a wall,create wall,1,8.557,12,0.7637692093849182,1,1,1,1.0,1
118,2658,2,1612272725490,1612272743960,Iets anders kapotmaken ,Destroy something else,Destroy else,destroy,0.0,1.0,7,1,Step stool,step stool,2,18.47,8,0.7525370121002197,1,1,1,1.0,2
119,2658,2,1612272743960,1612272754208,Boekensteun,Bookend,Bookend,bookend,0.0,1.0,7,1,Destroy something else,destroy,3,10.248,4,0.799435019493103,1,1,1,1.0,3
120,2658,2,1612272754208,1612272760915,Deurstopper,Door stopper,Door stopper,door stopper,0.0,0,12,2,Bookend,bookend,4,6.707,4,0.8187220096588135,0,0,0,1.0,3
121,2658,2,1612272760915,1612272855150,Richtingaanduiding met meerdere bakstenen,Directional indication with several bricks,Directional indication several,direction marking,0.0,1.0,17,2,Door stopper,door stopper,5,94.235,24,0.7974551916122437,1,1,1,1.0,4
122,2658,2,1612272855150,1612273002163,Muziekinstrument ,Musical instrument,Musical instrument,musical instrument,0.0,1.0,18,2,Directional indication with several bricks,direction marking,6,147.013,3,0.7513315081596375,1,1,1,3.0,5
123,2658,2,1612273002163,1612273236550,Kaarsenonderzetter,Candle coaster,Candle coaster,candle coaster,0.0,1.0,14,2,Musical instrument,musical instrument,7,234.387,13,0.7590601444244385,1,1,1,3.0,6
124,2658,2,1612273236550,1612273241893,Onderzetter voor pannen,Coaster for pans,Coaster pans,coaster pans,0.0,0,12,2,Candle coaster,candle coaster,8,5.343,1,0.8648266196250916,1,0,0,3.0,6
125,2658,2,1612273241893,1612273247476,Decoratie,Decoration,Decoration,decoration,0.0,1.0,10,1,Coaster for pans,coaster pans,9,5.583,25,0.7860382795333862,1,1,1,1.0,7
126,2658,2,1612273247476,1612273275944,Verhoging,Elevation,Elevation,elevation,0.0,1.0,9,1,Decoration,decoration,10,28.468,12,0.7823672890663147,1,1,1,1.0,8
128,2658,3,1612272117925,1612272120852,Slot openmaken,Open lock,Open lock,open lock,0.0,1.0,9,2,Keeping paper together,keeping paper together,1,2.927,5,0.7685124278068542,1,1,1,2.0,1
129,2658,3,1612272120852,1612272123232,haarspeld,Bobby pin,Bobby pin,bobby pin,0.0,1.0,9,2,Open lock,open lock,2,2.38,8,0.7877464890480042,1,1,1,2.0,2
130,2658,3,1612272123232,1612272133631,snoeren aan elkaar vastbinden,tie wires together,tie wires together,tie wires together,0.0,1.0,18,3,Bobby pin,bobby pin,3,10.399,26,0.7509657740592957,1,1,1,2.0,3
131,2658,3,1612272133631,1612272143060,eten tussen tanden weghalen,removing food from between teeth,removing food teeth,removing food teeth,0.0,1.0,19,3,tie wires together,tie wires together,4,9.429,13,0.7109562158584595,1,1,1,2.0,4
132,2658,3,1612272143060,1612272160590,kraskaart openkrassen,scratch open a scratch card,scratch open scratch card,scratch open scratch card,0.0,1.0,25,4,removing food from between teeth,removing food teeth,5,17.53,16,0.7659854888916016,1,1,1,3.0,5
133,2658,3,1612272160590,1612272175544,boekenlegger,bookmark,bookmark,bookmark,0.0,1.0,8,1,scratch open a scratch card,scratch open scratch card,6,14.954,3,0.784522294998169,1,1,1,1.0,6
134,2658,3,1612272175544,1612272229250,kleding die te groot is verstellen,mending clothes that are too big,mending clothes big,mending clothes big,0.0,1.0,19,3,bookmark,bookmark,7,53.706,20,0.7407282590866089,1,1,1,2.0,7
135,2658,3,1612272229250,1612272270518,twee dingen aan elkaar vastbinden,tying two things together,tying two together,tying two together,0.0,1.0,18,3,mending clothes that are too big,mending clothes big,8,41.268,20,0.8091723322868347,0,0,0,1.0,7
136,2658,3,1612272270518,1612272288016,gebruiken bij het klussen ,use when doing odd jobs,odd jobs,odd jobs,0.0,1.0,8,2,tying two things together,tying two together,9,17.498,14,0.7874781489372253,1,1,1,2.0,8
137,2658,3,1612272288016,1612272301359,sateprikker om te kijken of de cake gaar is ,skewer to check if the cake is done,skewer check cake done,skewer check cake done,0.0,1.0,22,4,use when doing odd jobs,odd jobs,10,13.343,13,0.7555375099182129,1,1,1,3.0,9
138,2658,3,1612272301359,1612272331044,Om iets te roeren,To stir something,stir,stir,0.0,1.0,4,1,skewer to check if the cake is done,skewer check cake done,11,29.685,13,0.7525492906570435,0,1,0,2.5,9
139,2658,3,1612272331044,1612272361185,Iets vastbinden,Tie something up,Tie,tie,0.0,1.0,3,1,To stir something,stir,12,30.141,20,0.8065884113311768,1,0,0,2.0,9
140,2658,3,1612272361185,1612272363505,Iets repareren ,Fix something,Fix,fix,0.0,1.0,3,1,Tie something up,tie,13,2.32,26,0.787886381149292,1,1,1,1.0,10
141,2658,3,1612272363505,1612272382745,Sleutelhanger,Keychain,Keychain,keychain,0.0,1.0,8,1,Fix something,fix,14,19.24,28,0.7749617695808411,1,1,1,2.0,11
142,2658,3,1612272382745,1612272460192,Als je er meerdere aan elkaar vastbindt: een ketting ,If you tie several together: a chain,tie several together  chain,tie several together  chain,0.0,1.0,27,4,Keychain,keychain,15,77.447,28,0.8271206617355347,0,0,0,2.0,11
143,2658,3,1612272460192,1612272532905,Als je er meerdere aan elkaar vastbindt: hangen aan de muur en dan kan je er sieraden aan hangen,If you tie several of them together: hang on the wall and then you can hang jewelry on them,tie several together  hang wall hang jewelry,tie several together  hang wall hang jewelry,0.0,1.0,44,7,If you tie several together: a chain,tie several together  chain,16,72.713,28,0.9109746813774109,0,0,0,2.0,11
144,2658,3,1612272532905,1612272550572,Twee sokken als paar vastmaken aan elkaar,Attach two socks together as a pair,Attach two socks together pair,attach two socks together pair,0.0,1.0,30,5,If you tie several of them together: hang on the wall and then you can hang jewelry on them,tie several together  hang wall hang jewelry,17,17.667,20,0.8008795976638794,1,0,0,2.5,11
146,2660,1,1612274344953,1612274346896,hond,dog,dog,dog,0.0,1.0,3,1,cat,cat,1,1.943,3,0.8227521181106567,1,0,0,,0
147,2660,1,1612274346896,1612274351059,vleermuis,bat,bat,bat,0.0,1.0,3,1,dog,dog,2,4.163,13,0.7909246683120728,1,1,1,,1
148,2660,1,1612274351059,1612274352188,muis,mouse,mouse,mouse,0.0,1.0,5,1,bat,bat,3,1.129,2,0.8275219202041626,1,0,0,,1
149,2660,1,1612274352188,1612274355793,konijn,rabbit,rabbit,rabbit,0.0,1.0,6,1,mouse,mouse,4,3.605,15,0.840056300163269,1,0,0,,1
150,2660,1,1612274355793,1612274356884,kip,chicken,chicken,chicken,0.0,1.0,7,1,rabbit,rabbit,5,1.091,10,0.8127588033676147,1,0,0,,1
151,2660,1,1612274356884,1612274358134,koe,cow,cow,cow,0.0,1.0,3,1,chicken,chicken,6,1.25,3,0.8483150601387024,1,0,0,,1
152,2660,1,1612274358134,1612274362844,hamster,hamster,hamster,hamster,0.0,1.0,7,1,cow,cow,7,4.71,2,0.8003599643707275,1,0,0,,1
153,2660,1,1612274362844,1612274373644,koala,koala,koala,koala,0.0,1.0,5,1,hamster,hamster,8,10.8,5,0.8076468706130981,1,0,0,,1
154,2660,1,1612274373644,1612274374912,panda,panda,panda,panda,0.0,1.0,5,1,koala,koala,9,1.268,6,0.8249019384384155,1,0,0,,1
155,2660,1,1612274374912,1612274376969,tijger,Tiger,Tiger,tiger,0.0,1.0,5,1,panda,panda,10,2.057,6,0.8470467925071716,0,0,0,,1
156,2660,1,1612274376969,1612274378247,leeuw,lion,lion,lion,0.0,1.0,4,1,Tiger,tiger,11,1.278,1,0.8430523872375488,1,0,0,,1
157,2660,1,1612274378247,1612274381444,cheeta,cheetah,cheetah,cheetah,0.0,1.0,7,1,lion,lion,12,3.197,1,0.8354319334030151,0,0,0,,1
158,2660,1,1612274381444,1612274383165,uil,owl,owl,owl,0.0,1.0,3,1,cheetah,cheetah,13,1.721,10,0.7938296794891357,1,1,1,,2
159,2660,1,1612274383165,1612274386361,valk,falcon,falcon,falcon,0.0,1.0,6,1,owl,owl,14,3.196,10,0.8303429484367371,0,0,0,,2
160,2660,1,1612274386361,1612274390499,jaguar,jaguar,jaguar,jaguar,0.0,1.0,6,1,falcon,falcon,15,4.138,8,0.8437438011169434,1,0,0,,2
161,2660,1,1612274390499,1612274395520,arend,Eagle,Eagle,eagle,0.0,1.0,5,1,jaguar,jaguar,16,5.021,10,0.8049795627593994,1,0,0,,2
162,2660,1,1612274395520,1612274410744,rat,rat,rat,rat,0.0,1.0,3,1,Eagle,eagle,17,15.224,2,0.7751979231834412,1,1,1,,3
163,2660,1,1612274410744,1612274415841,beer,bear,bear,bear,0.0,1.0,4,1,rat,rat,18,5.097,6,0.7826414704322815,1,1,1,,4
164,2660,1,1612274415841,1612274417783,ijsbeer,polar bear,polar bear,polar bear,0.0,1.0,10,2,bear,bear,19,1.942,6,0.9094844460487366,0,0,0,,4
173,2660,2,1612275091764,1612275115284,gewichten,weights,weights,weights,0.0,1.0,7,1,to build walls,build walls,1,23.52,11,0.7691062688827515,1,1,1,1.0,1
174,2660,2,1612275115284,1612275120689,wapen,weapon,weapon,weapon,0.0,1.0,6,1,weights,weights,2,5.405,8,0.7964397072792053,1,1,1,1.0,2
175,2660,2,1612275120689,1612275166745,een opstapje,a stepping stone,stepping stone,step stool,0.0,1.0,10,2,weapon,weapon,3,46.056,12,0.7725778818130493,1,1,1,1.0,3
176,2660,2,1612275166745,1612275179197,bord,plate,plate,board/plate,0.0,1.0,11,1,a stepping stone,step stool,4,12.452,1,0.7864144444465637,1,1,1,2.0,4
177,2660,2,1612275179197,1612275181908,snijplank,cutting board,cutting board,cutting board,0.0,0,13,2,plate,board/plate,5,2.711,2,0.8836710453033447,1,0,0,3.0,4
178,2660,2,1612275181908,1612275217446,schoen ,shoe,shoe,shoe,0.0,1.0,4,1,cutting board,cutting board,6,35.538,2,0.760128378868103,0,1,0,2.0,4
179,2660,2,1612275217446,1612275261717,kamerdecoratie,room decoration,room decoration,room decoration,0.0,1.0,15,2,shoe,shoe,7,44.271,14,0.7447082996368408,1,1,1,1.0,5
180,2660,2,1612275261717,1612275277434,stempel (met inkt),stamp (with ink),stamp,stamp,0.0,1.0,5,1,room decoration,room decoration,8,15.717,1,0.7652152180671692,1,1,1,2.0,6
181,2660,2,1612275277434,1612275343587,obstakel (mensen struikelen erover),obstacle (people trip over it),obstacle,obstacle,0.0,1.0,8,1,stamp (with ink),stamp,9,66.153,4,0.7709486484527588,1,1,1,1.0,7
182,2660,2,1612275343587,1612275370810,kapotte baksteen = grint voor in de tuin,broken brick = gravel for the garden,broken  gravel garden,gravel for garden,0.0,1.0,17,3,obstacle (people trip over it),obstacle,10,27.223,2,0.7782821655273438,1,1,1,1.0,8
183,2660,2,1612275370810,1612275422025,muziekinstrument (als je erop slaat),musical instrument (when you strike it),musical instrument,musical instrument,0.0,1.0,18,2,broken brick = gravel for the garden,gravel for garden,11,51.215,3,0.7348506450653076,1,1,1,3.0,9
184,2660,2,1612275422025,1612275497160,canvas om op te schilderen,canvas to paint on,canvas paint,canvas paint,0.0,1.0,12,2,musical instrument (when you strike it),musical instrument,12,75.135,26,0.7591545581817627,1,1,1,2.0,10
185,2660,2,1612275497160,1612275564871,bieropener (als je er tegenaan slaat),beer opener (when you hit it),beer opener,beer opener,0.0,1.0,11,2,canvas to paint on,canvas paint,13,67.711,4,0.7368340492248535,1,1,1,3.0,11
186,2660,2,1612275564871,1612275584805,cadeau,gift,gift,gift,0.0,1.0,4,1,beer opener (when you hit it),beer opener,14,19.934,3,0.7828660011291504,1,1,1,2.0,12
187,2660,2,1612275584805,1612275626595,boekenhouder,book holder,book holder,book holder,0.0,1.0,11,2,gift,gift,15,41.79,14,0.789425790309906,1,1,1,2.0,13
189,2660,3,1612274483080,1612274488682,sloten openmaken,open locks,open locks,open locks,0.0,1.0,10,2,keep paper together,keep paper together,1,5.602,5,0.7398326992988586,1,1,1,2.0,1
190,2660,3,1612274488682,1612274500656,gaatjes maken,make holes,make holes,make holes,0.0,1.0,10,2,open locks,open locks,2,11.974,12,0.7673417329788208,1,1,1,2.0,2
191,2660,3,1612274500656,1612274505936,boekenlegger,bookmark,bookmark,bookmark,0.0,1.0,8,1,make holes,make holes,3,5.28,3,0.7643276453018188,1,1,1,1.0,3
192,2660,3,1612274505936,1612274523915,oorbel,earring,earring,earring,0.0,1.0,7,1,bookmark,bookmark,4,17.979,27,0.7930352687835693,1,1,1,2.0,4
193,2660,3,1612274523915,1612274550450,haakje om dingen aan op te hangen ,hook to hang things on,hook hang,hook hang,0.0,1.0,9,2,earring,earring,5,26.535,23,0.7899690270423889,1,1,1,2.0,5
194,2660,3,1612274550450,1612274565453,magneten vinden,find magnets,find magnets,find magnets,0.0,1.0,12,2,hook to hang things on,hook hang,6,15.003,8,0.7631465196609497,1,1,1,2.0,6
195,2660,3,1612274565453,1612274599251,je haar bij elkaar houden,keeping your hair together,keeping hair together,keeping hair together,0.0,1.0,21,3,find magnets,find magnets,7,33.798,11,0.7534163594245911,1,1,1,2.0,7
196,2660,3,1612274599251,1612274634690,gitaar mee spelen,play the guitar along,play guitar,play guitar,0.0,1.0,11,2,keeping your hair together,keeping hair together,8,35.439,10,0.732843279838562,1,1,1,3.0,8
197,2660,3,1612274634690,1612274717908,ketting of armband van paperclips maken ,make a necklace or bracelet from paper clips,make necklace bracelet paper clips,make necklace bracelet paper clips,0.0,1.0,34,5,play the guitar along,play guitar,9,83.218,1,0.7284023761749268,1,1,1,2.0,9
198,2660,3,1612274717908,1612274753845,potloden bij elkaar houden,keep pencils together,keep pencils together,keep pencils together,0.0,1.0,21,3,make a necklace or bracelet from paper clips,make necklace bracelet paper clips,10,35.937,20,0.7609386444091797,1,1,1,1.0,10
199,2660,3,1612274753845,1612274804866,wapen (zelfdefensie),weapon (self-defense),weapon,weapon,0.0,1.0,6,1,keep pencils together,keep pencils together,11,51.021,13,0.7408075928688049,1,1,1,2.0,11
200,2660,3,1612274804866,1612274865719,schrijfwaar als je inkt hebt,stationery if you have ink,stationery ink,stationery ink,0.0,1.0,14,2,weapon (self-defense),weapon,12,60.853,3,0.7506163120269775,1,1,1,2.5,12
201,2660,3,1612274865719,1612274883791,ruggenkrabber,back scratcher,back scratcher,back scratcher,0.0,1.0,14,2,stationery if you have ink,stationery ink,13,18.072,16,0.7568521499633789,1,1,1,2.5,13
