,pid,task,starttime,endtime,response,response_English,response_English_cleaned,response_English_corrected,invalid,jump_GT,creative,response_len,previous_response_len,RT,previous_response_English,order,clusters_GPT,previous_clusters_GPT,jump_GPT,SS,SS_ref,cluster,previous_cluster,cluster_dist,jump,previous_jump,order_in_cluster,frequency
28,2657,2,1612270178745,1612270222598,om muziek mee te maken wanneer je het op de grond gooit,to make music when you throw it on the ground,make music throw ground,Throw and make music,,,,55,5.0,6.680951628578860,chair,29,[14],[5],1.0,0.7170674204826360,0.7663751,20,4,0.9929200177156740,1,1,1,-4.976043849326640
29,2657,2,1612270281298,1612270357015,"dat ene spel waar je steeds een steen uit moet halen zodat de toren niet omvalt, djenge?","that one game where you always have to remove a stone so that the tower doesn't fall over, dude?","one game always remove stone tower n't fall , dude ?",Jenga game,,,,88,55.0,6.757130572567770,to make music when you throw it on the ground,30,"[19, 55]",[14],1.0,0.7745298147201540,0.80750287,13,20,0.9975790344640710,1,1,1,-4.793722292532680
30,2657,2,1612270357015,1612270374214,als gordijn,as a curtain,curtain,,,,,11,88.0,7.354551342976830,"that one game where you always have to remove a stone so that the tower doesn't fall over, dude?",31,[5],"[19, 55]",1.0,0.7377417087554930,0.7571446,15,13,0.9975790344640710,1,1,1,-5.332718793265370
31,2658,2,1612272716933,1612272725490,Opstapje ,Step stool,Step stool,,,,,9,11.0,6.857017385886290,Create a wall,1,[28],"[1, 13]",1.0,0.7393392324447630,0.775969,6,2,0.9747182008859630,1,1,1,-5.812291873527260
32,2658,2,1612272725490,1612272743960,Iets anders kapotmaken ,Destroy something else,Destroy something else,Destroy,,,,23,9.0,6.688097493148370,Step stool,2,[23],[28],1.0,0.7458019256591800,0.78447807,21,6,0.7943130494024820,1,1,1,-5.738183901373530
33,2658,2,1612272743960,1612272754208,Boekensteun,Bookend,Bookend,,,,,11,23.0,6.836674189724290,Destroy something else,3,[6],[23],1.0,0.7592516541481020,0.76556885,4,21,0.987912703687808,1,1,1,-4.250106845943700
34,2658,2,1612272754208,1612272760915,Deurstopper,Door stopper,Door stopper,,,0,,11,11.0,6.412601659837700,Bookend,4,[20],[6],1.0,0.8132302761077880,0.7594697,17,4,0.987912703687808,1,1,1,-4.059753117452480
35,2658,2,1612272760915,1612272855150,Richtingaanduiding met meerdere bakstenen,Directional indication with several bricks,Directional indication several bricks,Direction marking,,,,41,11.0,7.739866098203840,Door stopper,5,"[1, 22]",[20],1.0,0.7636067867279050,0.87692666,1,17,0.9503425445799080,1,1,1,-4.40694931743667
36,2658,2,1612272855150,1612273002163,Muziekinstrument ,Musical instrument,Musical instrument,,,,,17,41.0,9.06503404374271,Directional indication with several bricks,6,[14],"[1, 22]",1.0,0.7435688972473150,0.7538055,20,1,0.9503425445799080,1,1,1,-5.241747015059640
37,2658,2,1612273002163,1612273236550,Kaarsenonderzetter,Candle coaster,Candle coaster,,,,,18,17.0,9.474337917298660,Musical instrument,7,[5],[14],1.0,0.7407989501953130,0.77645767,15,20,0.9444625934015160,1,1,1,-5.241747015059640
38,2658,2,1612273236550,1612273241893,Onderzetter voor pannen,Coaster for pans,Coaster pans,,,0,,23,18.0,5.446971602103280,Candle coaster,8,"[5, 37]",[5],0.0,0.8575644493103030,0.77573514,15,15,0.8267850004917050,0,1,2,-6.431331081933480
39,2658,2,1612273241893,1612273247476,Decoratie,Decoration,Decoration,,,,,9,23.0,6.429853877609260,Coaster for pans,9,[47],"[5, 37]",1.0,0.7776318788528440,0.78215885,15,15,0.8639897114157000,0,0,3,-4.202853961093160
40,2658,2,1612273247476,1612273275944,Verhoging,Elevation,Elevation,,,,,9,9.0,8.059232311848700,Decoration,10,[28],[47],1.0,0.7601786851882940,0.75101465,5,15,0.9450862738747160,1,0,1,-4.7663233183445700
41,2660,2,1612275091764,1612275115284,gewichten,weights,weights,,,,,9,22.0,7.8682861568350200,to build walls,1,[26],"[1, 13]",1.0,0.7627657651901250,0.7556445,16,2,0.8857635811696380,1,0,1,-4.527093629278730
42,2660,2,1612275115284,1612275120689,wapen,weapon,weapon,,,,,5,9.0,6.985410523547740,weights,2,[48],[26],1.0,0.7779428958892820,0.7530154,22,16,0.8857635811696380,1,1,1,-3.772071045000700
43,2660,2,1612275120689,1612275166745,een opstapje,a stepping stone,stepping stone,Step stool,,,,12,5.0,8.25264153635331,weapon,3,[28],[48],1.0,0.7601640224456790,0.8032869,6,22,0.8037917158368740,1,1,1,-4.527093629278730
44,2660,2,1612275166745,1612275179197,bord,plate,plate,Board/plate,,,,4,12.0,8.043261858832520,a stepping stone,4,[5],[28],1.0,0.7776694297790530,0.796072,15,6,0.8037917158368740,1,1,1,-4.880733669522310
45,2660,2,1612275179197,1612275181908,snijplank,cutting board,cutting board,,,0,,9,4.0,5.70701797551435,plate,5,[37],[5],1.0,0.826468825340271,0.78966904,13,15,0.5838720165263260,1,1,1,-6.074656137994750
46,2660,2,1612275181908,1612275217446,schoen ,shoe,shoe,,,,,7,9.0,8.532398432173460,cutting board,6,[8],[37],1.0,0.7275216579437260,0.78365093,6,13,0.9549627758067370,1,1,1,-5.199187400640850
47,2660,2,1612275217446,1612275261717,kamerdecoratie,room decoration,room decoration,,,,,14,7.0,8.058948722865110,shoe,7,[47],[8],1.0,0.7625694870948790,0.76414466,4,6,0.9549627758067370,1,1,1,-6.297799689308960
48,2660,2,1612275261717,1612275277434,stempel (met inkt),stamp (with ink),stamp ( ink ),,,,,18,14.0,6.7718400950023400,room decoration,8,[7],[47],1.0,0.7574863433837890,0.756402,14,4,0.8105994790689330,1,1,1,-6.431331081933480
49,2660,2,1612275277434,1612275343587,obstakel (mensen struikelen erover),obstacle (people trip over it),obstacle ( people trip ),Obstacle,,,,35,18.0,7.5442451806172600,stamp (with ink),9,[21],[7],1.0,0.7464605569839480,0.77467835,22,14,0.7948128249819040,1,1,1,-5.8923345812007900
50,2660,2,1612275343587,1612275370810,kapotte baksteen = grint voor in de tuin,broken brick = gravel for the garden,broken brick = gravel garden,Gravel for garden,,,,40,35.0,6.522570625169120,obstacle (people trip over it),10,[54],[21],1.0,0.7851832509040830,0.8839991,1,22,0.9382744905795970,1,1,1,-5.544027886932580
51,2660,2,1612275370810,1612275422025,muziekinstrument (als je erop slaat),musical instrument (when you strike it),musical instrument ( strike ),musical instrument,,,,36,40.0,7.26009305320557,broken brick = gravel for the garden,11,[14],[54],1.0,0.7382715940475460,0.7484231,20,1,0.9444625934015160,1,1,1,-5.241747015059640
52,2660,2,1612275422025,1612275497160,canvas om op te schilderen,canvas to paint on,canvas paint,,,,,26,36.0,7.968858721749100,musical instrument (when you strike it),12,"[17, 53]",[14],1.0,0.748126745223999,0.7456033,7,20,0.9444625934015160,1,1,1,-5.738183901373530
53,2660,2,1612275497160,1612275564871,bieropener (als je er tegenaan slaat),beer opener (when you hit it),beer opener ( hit ),beer opener,,,,37,26.0,7.511949395257360,canvas to paint on,13,[11],"[17, 53]",1.0,0.7175278663635250,0.7552961,21,7,0.6351692809719600,1,1,1,-6.585481761760740
54,2660,2,1612275564871,1612275584805,cadeau,gift,gift,,,,,6,37.0,8.108347375148600,beer opener (when you hit it),14,[16],[11],1.0,0.7676568031311040,0.77017564,15,21,0.9782573640655410,1,1,1,-5.544027886932580
55,2660,2,1612275584805,1612275626595,boekenhouder,book holder,book holder,,,,,12,6.0,8.15543391556814,gift,15,[6],[16],1.0,0.7604361772537230,0.7557648,4,15,0.987912703687808,1,1,1,-4.250106845943700
56,2661,2,1612274970894,1612274975366,raam ingooien,smash a window,smash window,,,,,13,11.0,5.839914648980780,build a house,1,[23],"[1, 13]",1.0,0.7357028722763060,0.76365525,18,3,0.7651236029238930,1,1,1,-4.425997512407360
57,2661,2,1612274975366,1612275035973,iets op tekenen,draw something on it,draw something,,,,,15,13.0,8.304053599880180,smash a window,2,[7],[23],1.0,0.7197308540344240,0.7703776,7,18,0.9612371621776860,1,1,1,-5.045036720813590
58,2661,2,1612275035973,1612275068847,iets kapot maken ,break something,break something,,,,,17,15.0,7.5670947168536200,draw something on it,3,[23],[7],1.0,0.7612936496734620,0.7756067,21,7,0.9612371621776860,1,1,1,-4.739655071262410
59,2661,2,1612275068847,1612275119202,brug bouwen,build a bridge,build bridge,,,,,11,17.0,8.428903311539570,break something,4,"[1, 22]",[23],1.0,0.7666457295417790,0.760784,3,21,0.7576258181926930,1,1,1,-5.669191029886580
60,2661,2,1612275119202,1612275137954,deur mee tegenhouden,stop the door,stop door,,,,,20,11.0,6.8430567450432,build a bridge,5,[20],"[1, 22]",1.0,0.6984093189239500,0.74959874,17,3,0.6879593071794810,1,1,1,-4.059753117452480
61,2661,2,1612275137954,1612275186735,opstapje maken,make a step,make step,,,,,14,20.0,8.155967090328800,stop the door,6,"[1, 28]",[20],1.0,0.7753019332885740,0.7635615,6,17,0.7018771687828670,1,1,1,-5.812291873527260
62,2661,2,1612275186735,1612275494383,iets laten zinken,sink something,sink something,,,,,17,14.0,9.80348439261271,make a step,7,[45],"[1, 28]",1.0,0.7848646640777590,0.7658155,12,6,0.7791583012047280,1,1,1,-5.286198777630480
63,2662,2,1612276276753,1612276285244,fort maken,make a fort,make fort,,,,,10,11.0,6.743882492256640,build a house,1,"[1, 13]","[1, 13]",0.0,0.7965587377548220,0.7870171,3,3,0.8440774896386660,0,1,2,-5.979345958190420
64,2662,2,1612276285244,1612276391552,pizza oven maken van bakstenen,making pizza oven from bricks,making pizza oven bricks,pizza oven,,,,30,10.0,8.172827886325680,make a fort,2,"[1, 9]","[1, 13]",0.0,0.7477962970733640,0.87233067,9,3,0.8440774896386660,1,0,1,-5.812291873527260
65,2662,2,1612276391552,1612276410810,het schilderen van bakstenen,painting bricks,painting bricks,Painting canvas,,,,28,30.0,6.533113776243420,making pizza oven from bricks,3,[53],"[1, 9]",1.0,0.8411753177642820,0.89270395,1,9,0.8553814994774670,1,1,1,-5.009945401002320
66,2662,2,1612276410810,1612276464930,"het smelten van bakstenen, om nieuwe stenen te maken",melting bricks to make new bricks,melting bricks make new bricks,Melt to make new bricks,,,,52,28.0,6.9474751279014600,painting bricks,4,[54],[53],1.0,0.8800210952758790,0.8919787,1,1,0.9382744905795970,0,1,2,-5.544027886932580
67,2662,2,1612276464930,1612276563675,Voor het verkeer gebruiken,Use for traffic,Use traffic,Traffic,,,,26,52.0,8.242133682264190,melting bricks to make new bricks,5,[18],[54],1.0,0.7467942237854000,0.75493896,5,1,0.9382744905795970,1,0,1,-5.979345958190420
68,2662,2,1612276563675,1612276632674,er wordt meegegooid tijdens rellen (den haag vorige week),there is throwing during riots (the hague last week),throwing riots ( hague last week ),Riots,,0,,57,26.0,7.098589476824790,Use for traffic,6,"[2, 4]",[18],1.0,0.7543718814849850,0.7533817,22,5,0.9033121037354120,1,1,1,-6.074656137994750
69,2664,2,1612278908077,1612278942088,Gebruiken als gewicht bij iets dat je in de oven doet wat niet mag rijzen,Use as a weight for something that you put in the oven that is not allowed to rise,Use weight something put oven allowed rise,Weight,,,,73,38.0,6.143443104417910,Use as weight for bicep curls,1,[26],"[26, 56]",0.0,0.8282831311225890,0.7544511,16,16,0.9259987974712800,0,1,2,-4.527093629278730
70,2664,2,1612278942088,1612278970494,Om een ruit in te gooien (bij nood),To break a window (in an emergency),break window ( emergency ),break window,,,,35,73.0,6.698699526985550,Use as a weight for something that you put in the oven that is not allowed to rise,2,"[23, 50]",[26],1.0,0.7691578269004820,0.779943,18,16,0.915954544487911,1,0,1,-4.850880706372630
71,2664,2,1612278970494,1612278999854,Op iets leggen wat niet weg mag waaien,Place it on something that should not blow away,Place something blow away,weight to prevent blowing away,,,,38,35.0,6.649478701159880,To break a window (in an emergency),3,[20],"[23, 50]",1.0,0.8075642585754400,0.75573957,19,18,0.915954544487911,1,1,1,-5.738183901373530
72,2664,2,1612278999854,1612279003777,Deurstopper,Door stopper,Door stopper,,,,,11,38.0,5.87601543346277,Place it on something that should not blow away,4,[20],[20],0.0,0.7684329152107240,0.7594697,17,19,0.739736261697066,1,1,1,-4.059753117452480
73,2664,2,1612279003777,1612279028917,Als je er meerdere hebt kun je er een huis mee bouwen,If you have several you can build a house with them,several build house,house,,,,53,11.0,6.161396381124980,Door stopper,5,"[1, 13]",[20],1.0,0.7580100893974300,0.7814631,3,17,0.7651236029238930,1,1,1,-4.100575111972740
74,2664,2,1612279028917,1612279111085,Gebruiken als voorwerp om op te duiken,Use as an item to pop up,Use item pop,diving,,,,38,53.0,7.678819427650000,If you have several you can build a house with them,6,[20],"[1, 13]",1.0,0.7632189989089970,0.754783,15,3,0.8835298354242060,1,1,1,-5.332718793265370
75,2664,2,1612279111085,1612279148932,Gebruiken om een geheime boodschap aan de bodem van een zwembad te verstoppen in water,Use to hide a secret message in water at the bottom of a pool,Use hide secret message water bottom pool,Sink in water,,0,,86,38.0,6.086391461086340,Use as an item to pop up,7,"[33, 50]",[20],1.0,0.7903248071670530,0.74021685,22,15,0.9580320832762860,1,1,1,-5.8923345812007900
76,2664,2,1612279148932,1612279163518,Gebruiken om mee te vissen in zichtbaar ondiep water,Use for fishing in visibly shallow water,Use fishing visibly shallow water,Fishing,,0,,52,86.0,5.635682061952270,Use to hide a secret message in water at the bottom of a pool,8,"[2, 58]","[33, 50]",1.0,0.8015187978744510,0.7055006,12,22,0.9580320832762860,1,1,1,-5.432802251822350
77,2664,2,1612279163518,1612279206886,Om met vuur warm te maken en in een bad te doen= hot tub,To heat with fire and put in a bath = hot tub,heat fire put bath = hot tub,heat,,,,56,52.0,6.651802559419720,Use for fishing in visibly shallow water,9,[31],"[2, 58]",1.0,0.7144929766654970,0.77438176,15,12,0.9402394452735700,1,1,1,-5.669191029886580
78,2664,2,1612279206886,1612279278374,Gebruiken om een muizenhol te blokkeren,Use to block a mouse hole,Use block mouse hole,Block mouse hole,,,,39,56.0,7.513586840471330,To heat with fire and put in a bath = hot tub,10,[21],[31],1.0,0.7001354694366460,0.7511664,15,15,0.7889838030591540,0,1,2,-6.431331081933480
79,2664,2,1612279278374,1612279408482,Om een blok hout op te hakken zodat je het blok niet in de grond hakt,To chop up a block of wood so that you do not cut the block into the ground,chop block wood cut block ground,Chop wood,,,,69,39.0,7.541881058221180,Use to block a mouse hole,11,[1],[21],1.0,0.7666980624198910,0.802654,13,15,0.9161889704895420,1,0,1,-5.669191029886580
80,2667,2,1612280505156,1612280508369,trap,stairs,stairs,,,,,4,4.0,6.688354713946760,house,1,[28],[13],1.0,0.7926124334335330,0.78622144,6,3,0.736169546355502,1,1,1,-4.639571612705420
81,2667,2,1612280508369,1612280511950,pad,path,path,,,,,3,4.0,7.0845756206907000,stairs,2,[24],[28],1.0,0.7969419956207280,0.7674862,11,6,0.6743546442775570,1,1,1,-6.074656137994750
82,2667,2,1612280511950,1612280514802,straat,street,street,,,0,,6,3.0,6.163490227243580,path,3,[24],[24],0.0,0.7869638204574590,0.80336124,10,11,0.7141290856780930,1,1,1,-5.286198777630480
83,2667,2,1612280514802,1612280524439,ruiten ingooien,breaking windows,breaking windows,,,,,15,6.0,6.4649257337737600,street,4,[23],[24],1.0,0.7451796531677250,0.77302057,18,10,0.915954544487911,1,1,1,-4.850880706372630
84,2667,2,1612280524439,1612280529433,kasteel,castle,castle,,,,,7,15.0,6.569731839868190,breaking windows,5,[13],[23],1.0,0.738852858543396,0.8168534,3,18,0.915954544487911,1,1,1,-5.979345958190420
85,2667,2,1612280529433,1612280530313,kerk,church,church,,,0,,4,7.0,5.392490536565290,castle,6,[13],[13],0.0,0.7710637450218200,0.76347446,14,3,0.8440774896386660,1,1,1,-5.812291873527260
86,2667,2,1612280530313,1612280536571,muur,wall,wall,,,,,4,4.0,7.3551617548784700,church,7,"[13, 60]",[13],0.0,0.7538896799087520,0.8345101,2,14,0.9747182008859630,1,1,1,-4.21835814762912
87,2667,2,1612280536571,1612280597313,steen,stone,stone,,,,,5,4.0,9.404932173800970,wall,8,[56],"[13, 60]",1.0,0.7652089595794680,0.84052217,13,2,0.9975790344640710,1,1,1,-4.793722292532680
88,2667,2,1612280597313,1612280598496,klei,clay,clay,,,,,4,5.0,5.688668836846150,stone,9,[54],[56],1.0,0.8273893594741820,0.8085753,13,13,0.9975790344640710,0,1,2,-5.486869473092630
89,2667,2,1612280598496,1612280628432,vloer,floor,floor,,,,,5,4.0,8.697337379462380,clay,10,[5],[54],1.0,0.7743425369262700,0.78409207,4,13,0.6218527973592180,1,0,1,-5.8923345812007900
90,2667,2,1612280628432,1612280643587,weg,away,away,,1,,,3,5.0,8.527424010981580,floor,11,[0],[5],1.0,0.7483177185058590,0.7512523,14,4,0.9948402806287740,1,1,1,-5.045036720813590
91,2667,2,1612280643587,1612280654975,villa,villa,villa,,,,,5,3.0,7.730767765274690,away,12,[13],[0],1.0,0.7970386743545530,0.7455481,3,14,0.9948402806287740,1,1,1,-5.738183901373530
92,2667,2,1612280654975,1612280686657,kunst,art,art,,,,,5,5.0,8.754026607456460,villa,13,[17],[13],1.0,0.7699390649795530,0.7704309,7,3,0.9873575592904490,1,1,1,-4.821893169499380
93,2667,2,1612280686657,1612280698945,isolatie,insulation,insulation,,,,,8,5.0,7.336774140044040,art,14,[27],[17],1.0,0.7603237628936770,0.80106986,15,7,0.9873575592904490,1,1,1,-6.180016653652570
94,2667,2,1612280698945,1612280704503,brandveiligheid,fire safety,fire safety,,,,,15,8.0,5.9142684783550300,insulation,15,[27],[27],0.0,0.7935916185379030,0.7642739,14,15,0.9531702171949080,1,1,1,-6.180016653652570
95,2667,2,1612280704503,1612280712230,duurzaam,durable,durable,,,,,8,15.0,6.872775560086110,fire safety,16,[0],[27],1.0,0.7564219236373900,0.7602253,14,14,1,0,1,2,-6.180016653652570
96,2667,2,1612280736429,1612280759965,hek,fence,fence,,,,,3,8.0,8.967642287587880,durable,17,[13],[0],1.0,0.7570024132728580,0.79223096,14,14,0.9531702171949080,0,0,3,-5.604652508749010
97,2667,2,1612280759965,1612280763672,pilaar,pillar,pillar,,,,,6,3.0,6.425814012163360,fence,18,[13],[13],0.0,0.7867119908332830,0.82261926,3,14,0.9875625819646670,1,0,1,-5.738183901373530
98,2667,2,1612280763672,1612280765549,paal,pole,pole,,,0,,4,6.0,6.150602768446280,pillar,19,[0],[13],1.0,0.8036364912986760,0.7640639,14,3,0.9875625819646670,1,1,1,-5.332718793265370
99,2667,2,1612280765549,1612280856965,boulevard,boulevard,boulevard,,,,,9,4.0,9.225926606428180,pole,20,"[13, 24]",[0],1.0,0.7720069289207460,0.7523477,14,14,0.9948402806287740,0,1,2,-5.045036720813590
100,2667,2,1612280856965,1612280887596,ingang,Entrance,Entrance,,,,,6,9.0,8.53795940660004,boulevard,21,[0],"[13, 24]",1.0,0.7939069271087650,0.764935,17,14,0.9948402806287740,1,0,1,-4.713679584859150
101,2667,2,1612280887596,1612280889733,kapot,Broken,Broken,,1,,,5,6.0,6.057135239597630,Entrance,22,[23],[0],1.0,0.7442947626113890,0.7745266,21,17,0.8915292792835360,1,1,1,-4.739655071262410
102,2667,2,1612280889733,1612280903683,stoep,sidewalk,sidewalk,,,,,5,5.0,7.93370726506581,Broken,23,[24],[23],1.0,0.7586754560470580,0.79475856,10,21,0.7576258181926930,1,1,1,-5.604652508749010
103,2667,2,1612280903683,1612280916782,afscheiding ,secretion,secretion,,1,,,12,5.0,6.99515546926297,sidewalk,24,[0],[24],1.0,0.7408174872398380,0.74807334,12,10,0.9431531657396680,1,1,1,-5.486869473092630
104,2667,2,1612280916782,1612280920022,plantenbak,planter,planter,,,,,10,12.0,5.779971613013750,secretion,25,[38],[0],1.0,0.7489631772041320,0.78873223,11,12,0.9431531657396680,1,1,1,-5.604652508749010
105,2667,2,1612280920022,1612281013891,afscherming,shielding,shielding,,,,,11,10.0,9.051730902869240,planter,26,[27],[38],1.0,0.7458261847496030,0.7706995,22,11,0.8936099292932190,1,1,1,-6.767803318554690
106,2667,2,1612281013891,1612281082867,uitgang,Exit,Exit,,1,,,7,11.0,9.195578376466160,shielding,27,[0],[27],1.0,0.7315229177474980,0.75707024,22,22,0.9109174766194020,0,1,2,-5.738183901373530
107,2667,2,1612281082867,1612281086700,poort,gate,gate,,,,,5,7.0,6.641638984444920,Exit,28,[13],[0],1.0,0.810620903968811,0.8046377,17,22,0.9109174766194020,1,0,1,-4.713679584859150
108,2667,2,1612281086700,1612281090077,afdekking,hedging,hedging,,,,,9,5.0,5.926851949152720,gate,29,[0],[13],1.0,0.7520136833190920,0.70803434,11,17,0.9949740122933940,1,1,1,-5.432802251822350
109,2668,2,1612281198803,1612281203868,op de grond gooien,throw it on the ground,throw ground,,,,,18,20.0,5.638848813732790,Throwing through a window,1,"[2, 55]","[2, 3]",0.0,0.835956335067749,0.7764116,20,18,0.9992568173831890,1,1,1,-4.976043849326640
110,2668,2,1612281203868,1612281208085,door een auto gooien,throw through a car,throw car,,,0,,20,18.0,5.349960599699880,throw it on the ground,2,"[2, 15, 23]","[2, 55]",0.0,0.8376193046569820,0.75290525,22,20,0.9498072637269710,1,1,1,-6.180016653652570
